"","Estimate","Std.Err","Lower","Upper","dose","label"
"25:chr16",9.93196080863768e-07,9.97504651730481e-08,8.15728402757646e-07,1.20927314987243e-06,"25","chr16"
"50:chr16",1.31896742807144e-06,1.01863920257668e-07,1.13369369969745e-06,1.53451948862172e-06,"50","chr16"
"0:chr17",1.85982807843902e-07,3.6055330914964e-08,1.27190785043986e-07,2.71950556807555e-07,"0","chr17"
"12.5:chr17",5.01211768179154e-07,5.99796475128712e-08,3.96422768578053e-07,6.33700323173571e-07,"12.5","chr17"
"25:chr17",9.643925950002e-07,1.01864158768731e-07,7.84053206942184e-07,1.18621168698287e-06,"25","chr17"
"50:chr17",1.42454264573563e-06,1.10177728876218e-07,1.22416899613941e-06,1.65771372736872e-06,"50","chr17"
"0:chr18",1.16581799698022e-07,2.3858629413566e-08,7.80604699096646e-08,1.74112659538921e-07,"0","chr18"
"12.5:chr18",3.39936658307169e-07,4.13674344553006e-08,2.67802068149681e-07,4.31501266810447e-07,"12.5","chr18"
"25:chr18",7.73490030881662e-07,7.52190388803487e-08,6.39261464245815e-07,9.35903165349031e-07,"25","chr18"
"50:chr18",1.14637870184776e-06,8.38430625748925e-08,9.93284164429325e-07,1.32306964624287e-06,"50","chr18"
"0:chr19",9.26191055895586e-08,2.0607606970896e-08,5.9883829200858e-08,1.43249001185898e-07,"0","chr19"
"12.5:chr19",2.36295042603488e-07,3.26280387986476e-08,1.80268228438139e-07,3.09734819289827e-07,"12.5","chr19"
"25:chr19",4.71647354907778e-07,5.56723481547385e-08,3.7423397055706e-07,5.94417516561572e-07,"25","chr19"
"50:chr19",6.62736803413017e-07,5.80190592649138e-08,5.58242568597358e-07,7.86790716626447e-07,"50","chr19"
"0:chr2",2.19675120035171e-07,3.48110387448007e-08,1.61025391633877e-07,2.99686638689808e-07,"0","chr2"
"12.5:chr2",3.19621253317055e-07,4.16409130316949e-08,2.47593572164807e-07,4.12602575578839e-07,"12.5","chr2"
"25:chr2",5.93675788534807e-07,6.67324112601241e-08,4.76287979241572e-07,7.39995459162455e-07,"25","chr2"
"50:chr2",8.0532742052256e-07,6.8160119351507e-08,6.8222831556102e-07,9.50638136020772e-07,"50","chr2"
"0:chr3",1.51886637870712e-07,2.89585804548349e-08,1.04527409693522e-07,2.20703362221541e-07,"0","chr3"
"12.5:chr3",1.57952924279108e-07,2.87280608915216e-08,1.10589369251788e-07,2.25601488254427e-07,"12.5","chr3"
"25:chr3",2.7743991806673e-07,4.44797734217944e-08,2.02629399617191e-07,3.79870385453894e-07,"25","chr3"
"50:chr3",3.48710647248156e-07,4.21867906863447e-08,2.75097973152937e-07,4.42021124730812e-07,"50","chr3"
"0:chr4",1.95787654006447e-07,3.462218150503e-08,1.38440374643878e-07,2.76890362077934e-07,"0","chr4"
"12.5:chr4",3.13739790151504e-07,4.33201905302884e-08,2.39352740795956e-07,4.11245158910556e-07,"12.5","chr4"
"25:chr4",6.78904008655919e-07,7.63346778550068e-08,5.4462915659154e-07,8.4628347085492e-07,"25","chr4"
"50:chr4",9.93670034214587e-07,8.17349876018508e-08,8.45718918485375e-07,1.16750390149052e-06,"50","chr4"
"0:chr5",1.78977556707585e-07,3.30600827223316e-08,1.24614254801644e-07,2.5705699445064e-07,"0","chr5"
"12.5:chr5",3.17576741736734e-07,4.35104491638726e-08,2.42788185407531e-07,4.15403190739412e-07,"12.5","chr5"
"25:chr5",5.76581695347256e-07,7.0340768721995e-08,4.53959916611614e-07,7.3232556277417e-07,"25","chr5"
"50:chr5",9.25395984531981e-07,7.87948016366553e-08,7.831595567963e-07,1.09346520866201e-06,"50","chr5"
"0:chr6",1.57631052122163e-07,2.86814732408749e-08,1.10347611114e-07,2.25175228917914e-07,"0","chr6"
"12.5:chr6",2.80619796237344e-07,3.78741165226134e-08,2.15394734618291e-07,3.65596077266419e-07,"12.5","chr6"
"25:chr6",4.52129479889795e-07,5.6450360153509e-08,3.53986383889715e-07,5.77482852134515e-07,"25","chr6"
"50:chr6",8.35397870525613e-07,6.89667467692749e-08,7.10594654126794e-07,9.82120535280865e-07,"50","chr6"
"0:chr7",1.1746720417702e-07,2.40352003615111e-08,7.86593904194189e-08,1.754214466142e-07,"0","chr7"
"12.5:chr7",3.26663637728469e-07,4.02160020098264e-08,2.56630471259075e-07,4.15808503528292e-07,"12.5","chr7"
"25:chr7",7.12380890605984e-07,7.1302675211128e-08,5.85483870041358e-07,8.66781408110742e-07,"25","chr7"
"50:chr7",9.0398706881767e-07,7.11878617670173e-08,7.74695710158102e-07,1.05485626146398e-06,"50","chr7"
"0:chr8",1.82139239483981e-07,3.59241172043184e-08,1.23742054727662e-07,2.68095617393906e-07,"0","chr8"
"12.5:chr8",5.84791427628511e-07,6.6184234855993e-08,4.68452527178618e-07,7.30022774959643e-07,"12.5","chr8"
"25:chr8",1.2574823129754e-06,1.20909628342006e-07,1.04149460956887e-06,1.51826207540385e-06,"25","chr8"
"50:chr8",1.6199559373593e-06,1.21413178562726e-07,1.39864330191473e-06,1.87628771066437e-06,"50","chr8"
"0:chr9",2.36599315182086e-07,3.79021176129568e-08,1.72844246278333e-07,3.23870982980181e-07,"0","chr9"
"12.5:chr9",3.71312420416405e-07,4.6831439090388e-08,2.89989625607207e-07,4.75440848157233e-07,"12.5","chr9"
"25:chr9",5.63030801059749e-07,6.71767639591818e-08,4.45628482112119e-07,7.11363154885207e-07,"25","chr9"
"50:chr9",1.00731742607562e-06,8.12736966797387e-08,8.59980483495655e-07,1.17989700504725e-06,"50","chr9"
