"","Fold.Change","FC.Std.Err","Obs.T","p.value","df","FC.Lower","FC.Upper","adj_p.value","Significance","dose_1","label_1","dose_2","label_2"
"12.5:chr15 vs 0:chr15",1.23219638079031,0.259881819777963,0.980080567030865,0.322178916270915,1,0.814992304525247,1.86297209483125,0.999999999926396,"","12.5","chr15","0","chr15"
"25:chr15 vs 0:chr15",1.86342586134537,0.384725287533892,9.08835287304673,0.0025724244387979,1,1.24328862084126,2.79288001395943,0.143194489572324,"","25","chr15","0","chr15"
"50:chr15 vs 0:chr15",2.13430322018032,0.405545119228595,15.9196300048573,6.60897041405706e-05,1,1.47067549449701,3.09738637294019,0.00395766102470185,"**","50","chr15","0","chr15"
"12.5:chr16 vs 0:chr16",2.08354020119591,0.4162351343474,13.5020413490784,0.000238304075110718,1,1.40849326597365,3.08211609872241,0.0141981898048097,"*","12.5","chr16","0","chr16"
"25:chr16 vs 0:chr16",3.89147498366158,0.747934397952251,49.9810116927529,1.55242485533336e-12,1,2.6700221119292,5.67170491989749,9.31454913200014e-11,"***","25","chr16","0","chr16"
"50:chr16 vs 0:chr16",5.16789066076522,0.936196876821476,82.2023622443044,0,1,3.62336964687523,7.3707892057484,0,"***","50","chr16","0","chr16"
"12.5:chr17 vs 0:chr17",2.69493602118228,0.61397185248387,18.9354422262397,1.35217119415776e-05,1,1.72434468431475,4.21184941985768,0.000810979180131177,"***","12.5","chr17","0","chr17"
"25:chr17 vs 0:chr17",5.18538571484321,1.14478296356983,55.5767666339682,8.99280649946377e-14,1,3.36403435588379,7.99285089484052,5.39568389967826e-12,"***","25","chr17","0","chr17"
"50:chr17 vs 0:chr17",7.65953940716538,1.59871732163991,95.1474066162827,0,1,5.08789148353089,11.5310132143787,0,"***","50","chr17","0","chr17"
"12.5:chr18 vs 0:chr18",2.91586387573101,0.694263717951255,20.2017017942923,6.96909097031018e-06,1,1.82850929044893,4.64983261840884,0.00041805950403484,"***","12.5","chr18","0","chr18"
"25:chr18 vs 0:chr18",6.63474086765868,1.50330754946824,69.7495218008274,1.11022302462516e-16,1,4.25556960166392,10.3440409866093,6.66133814775094e-15,"***","25","chr18","0","chr18"
"50:chr18 vs 0:chr18",9.83325617563968,2.13703751402418,110.620475454439,0,1,6.42255458576149,15.0552129568692,0,"***","50","chr18","0","chr18"
"12.5:chr19 vs 0:chr19",2.55125593255704,0.668079063249445,12.7922645736885,0.00034805553636319,1,1.52705962392961,4.26237897421322,0.0206703454162935,"*","12.5","chr19","0","chr19"
"25:chr19 vs 0:chr19",5.09233329241899,1.28260648604482,41.7652211619382,1.02917896427357e-10,1,3.10831199380427,8.34274629212519,6.17507378564142e-09,"***","25","chr19","0","chr19"
"50:chr19 vs 0:chr19",7.1555085659101,1.71089426603691,67.7380971668309,2.22044604925031e-16,1,4.4783369780665,11.4331063266522,1.33226762955019e-14,"***","50","chr19","0","chr19"
"12.5:chr2 vs 0:chr2",1.45497247601768,0.298481807820527,3.34122874135564,0.0675641368633951,1,0.973271870986748,2.17508074472837,0.984963798594214,"","12.5","chr2","0","chr2"
"25:chr2 vs 0:chr2",2.70251719193214,0.525057198399032,26.1852614422188,3.10180938489779e-07,1,1.84668660951216,3.95497489128282,1.86106860148305e-05,"***","25","chr2","0","chr2"
"50:chr2 vs 0:chr2",3.66599285523833,0.658602705167996,52.2902645432615,4.78728168218368e-13,1,2.57793291171773,5.21328679794987,2.87236900931021e-11,"***","50","chr2","0","chr2"
"12.5:chr3 vs 0:chr3",1.03993956607006,0.27402021501458,0.0220899165124797,0.88184814887259,1,0.620468381644498,1.7429966345934,1,"","12.5","chr3","0","chr3"
"25:chr3 vs 0:chr3",1.82662492208755,0.455024411032485,5.84924965936934,0.0155836943724198,1,1.12100981683629,2.97638660775315,0.610302232165631,"","25","chr3","0","chr3"
"50:chr3 vs 0:chr3",2.29586125637321,0.518412003591036,13.5474063188202,0.000232612652134923,1,1.47482981616663,3.57395738188686,0.0138614161059236,"*","50","chr3","0","chr3"
"12.5:chr4 vs 0:chr4",1.60244930531306,0.359520325139431,4.4171931750325,0.0355785150116115,1,1.03231320719858,2.48746577898266,0.886233967962856,"","12.5","chr4","0","chr4"
"25:chr4 vs 0:chr4",3.46755270193678,0.72664114828596,35.2096875371061,2.96047197867466e-09,1,2.29958775389073,5.22872924521603,1.77628303177357e-07,"***","25","chr4","0","chr4"
"50:chr4 vs 0:chr4",5.07524358089436,0.989825275745553,69.3695758468372,1.11022302462516e-16,1,3.4629559433321,7.43818224283403,6.66133814775094e-15,"***","50","chr4","0","chr4"
"12.5:chr5 vs 0:chr5",1.77439421779343,0.408076858404577,6.21757680241705,0.0126488115688197,1,1.13055053168593,2.7849041258188,0.534093043672677,"","12.5","chr5","0","chr5"
"25:chr5 vs 0:chr5",3.22153071007266,0.713139530839127,27.9280623425674,1.25910386450379e-07,1,2.08753912196809,4.97152844070144,7.55459512657985e-06,"***","25","chr5","0","chr5"
"50:chr5 vs 0:chr5",5.17045824937649,1.05165348105977,65.2480327803806,6.66133814775094e-16,1,3.47054404196216,7.70301087821115,3.99680288865056e-14,"***","50","chr5","0","chr5"
"12.5:chr6 vs 0:chr6",1.7802317021894,0.40330311835357,6.48119901212627,0.0109021416861246,1,1.14193352938642,2.77531470258435,0.481969071816374,"","12.5","chr6","0","chr6"
"25:chr6 vs 0:chr6",2.86827673737404,0.632944834730944,22.800992216988,1.79672920241902e-06,1,1.8611687467633,4.42034686885239,0.000107798038366247,"***","25","chr6","0","chr6"
"50:chr6 vs 0:chr6",5.2997037022768,1.05891191897604,69.6616564824735,1.11022302462516e-16,1,3.58242018367131,7.84019123718274,6.66133814775094e-15,"***","50","chr6","0","chr6"
"12.5:chr7 vs 0:chr7",2.78089225002917,0.664059823554985,18.3447343620426,1.84327722883015e-05,1,1.74149612320738,4.44064250457789,0.00110536516379978,"**","12.5","chr7","0","chr7"
"25:chr7 vs 0:chr7",6.06450877584902,1.38138027281619,62.6170955868511,2.55351295663786e-15,1,3.88068180224539,9.47726934763618,1.53210777398272e-13,"***","25","chr7","0","chr7"
"50:chr7 vs 0:chr7",7.69565492897393,1.68721755389072,86.6340363201635,0,1,5.00755476462514,11.8267512927089,0,"***","50","chr7","0","chr7"
"12.5:chr8 vs 0:chr8",3.21068337215684,0.730105129759996,26.3136796887852,2.90225695143143e-07,1,2.05605808566881,5.01371424674086,1.74133926206244e-05,"***","12.5","chr8","0","chr8"
"25:chr8 vs 0:chr8",6.9039615875084,1.51489075952535,77.5338283194697,0,1,4.49081149284405,10.613824623399,0,"***","25","chr8","0","chr8"
"50:chr8 vs 0:chr8",8.89405238513567,1.87659582073379,107.278553913017,0,1,5.88167291350707,13.4492633291249,0,"***","50","chr8","0","chr8"
"12.5:chr9 vs 0:chr9",1.56937233791503,0.319974372514988,4.8859608626637,0.0270759598020732,1,1.05239117457443,2.34031754970661,0.80736461009632,"","12.5","chr9","0","chr9"
"25:chr9 vs 0:chr9",2.37968060316,0.475329493718505,18.8387562456038,1.4224713965838e-05,1,1.60877515214203,3.51999455331965,0.000853124790221815,"***","25","chr9","0","chr9"
"50:chr9 vs 0:chr9",4.25748242466549,0.763649891282327,65.2320267373411,6.66133814775094e-16,1,2.99554458727596,6.05103882390172,3.99680288865056e-14,"***","50","chr9","0","chr9"
